Category,Control Requirement
ID.AM-1:  Physical devices and systems within the organization are inventoried,"0701.07a1Organizational.12
An inventory of assets and services is maintained.
"
,"0702.07a1Organizational.3
The information lifecycle manages the secure use, transfer, exchange, and disposal of IT-related assets.
"
,"0720.07a1Organizational.4
The organization's asset inventory does not duplicate other inventories unnecessarily and ensures their respective content is aligned.
"
,"0721.07a1Organizational.5
The organization maintains an inventory of authorized wireless access points (WAPs), including a documented business justification, to support unauthorized WAP identification and response.
"
,"0722.07a1Organizational.67
If the organization assigns assets to contractors, it ensures that the procedures for assigning and monitoring the use of the property are included in the contract; and, if assigned to volunteer workers, there is a written agreement specifying how and when the property will be inventoried and how it will be returned upon completion of the volunteer assignment.
"
ID.AM-2:  Software platforms and applications within the organization are inventoried,"0701.07a1Organizational.12
An inventory of assets and services is maintained.
"
,"0702.07a1Organizational.3
The information lifecycle manages the secure use, transfer, exchange, and disposal of IT-related assets.
"
,"0722.07a1Organizational.67
If the organization assigns assets to contractors, it ensures that the procedures for assigning and monitoring the use of the property are included in the contract; and, if assigned to volunteer workers, there is a written agreement specifying how and when the property will be inventoried and how it will be returned upon completion of the volunteer assignment.
"
ID.AM-3:  Organizational communication and data flows are mapped,"0806.01m2Organizational.12356
The organization’s network is logically and physically segmented with a defined security perimeter and a graduated set of controls, including subnetworks for publicly accessible system components that are logically separated from the internal network, based on organizational requirements; traffic is controlled based on functionality required and classification of the data/systems based on a risk assessment and their respective security requirements.
"
,"0815.01o2Organizational.123
Requirements for network routing control are based on the access control policy, including positive source and destination checking mechanisms, such as firewall validation of source/destination addresses, and the hiding of internal directory services and IP addresses. The organization designed and implemented network perimeters so that all outgoing network traffic to the Internet passes through at least one application layer filtering proxy server. The proxy supports decrypting network traffic, logging individual TCP sessions, blocking specific URLs, domain names, and IP addresses to implement a blacklist, and applying whitelists of allowed sites that can be accessed through the proxy while blocking all other sites. The organization forces outbound traffic to the Internet through an authenticated proxy server on the enterprise perimeter.
"
,"0819.09m1Organizational.23
A current network diagram (including wireless networks) exists, and is updated whenever there are network changes and no less than every six months.
"
,"0886.09n2Organizational.4
The organization employs and documents in a formal agreement or other document—either i) allow-all, deny-by-exception, or ii) deny-all, permit-by-exception (preferred)—policy for allowing specific information systems to connect to external information systems.
"
,"0887.09n2Organizational.5
The organization requires external/outsourced service providers to identify the specific functions, ports, and protocols used in the provision of the external/outsourced services.
"
,"1401.05i1Organizational.1239
Access to the organization’s information and systems by external parties is not permitted until due diligence has been conducted, the appropriate controls have been implemented, and a contract/agreement reflecting the security requirements is signed acknowledging they understand and accept their obligations.
"
,"1402.05i1Organizational.45
Remote access connections between the organization and external parties are encrypted.
"
,"1418.05i1Organizational.8
The identification of risks related to external party access takes into account a minimal set of specifically defined issues.
"
ID.AM-4:  External information systems are catalogued,"0835.09n1Organizational.1
Agreed services provided by a network service provider/manager are formally managed and monitored to ensure they are provided securely.
"
,"0836.09n2Organizational.1
The organization formally authorizes and documents the characteristics of each connection from an information system to other information systems outside the organization.
"
,"0837.09n2Organizational.2
Formal agreements with external information system providers include specific obligations for security and privacy.
"
,"1409.09e2System.1
The organization develops, disseminates and annually reviews/updates a list of current service providers, which includes a description of services provided.
"
"ID.AM-5:  Resources (e.g., hardware, devices, data, and software) are prioritized based on their classification, criticality, and business value ","0701.07a1Organizational.12
An inventory of assets and services is maintained.
"
,"0703.07a2Organizational.1
The inventory of all authorized assets includes the owner of the information asset, custodianship, categorizes the information asset according to criticality and information classification, and identifies protection and sustainment requirements commensurate with the asset's categorization.
"
,"0816.01w1System.1
The sensitivity of applications/systems is explicitly identified and documented by the application/system owner.
"
,"1601.12c1Organizational.1238
The organization can recover and restore business operations and establish an availability of information in the time frame required by the business objectives and without a deterioration of the security measures.
"
,"1602.12c1Organizational.4567
The contingency program addresses required capacity, identifies critical missions and business functions, defines recovery objectives and priorities, and identifies roles and responsibilities.
"
,"1604.12c2Organizational.16789
Alternative storage and processing sites are identified (permanent and/or temporary) at a sufficient distance from the primary facility and configured with security measures equivalent to the primary site, and the necessary third-party service agreements have been established to allow for the resumption of information systems operations of critical business functions within the time period defined (e.g., priority of service provisions) based on a risk assessment, including Recovery Time Objectives (RTO), in accordance with the organization's availability requirements.
"
,"1669.12d1Organizational.8
The business continuity planning framework addresses a specific, minimal set of information security requirements.
"
,"19142.06c1Organizational.8
Guidelines are issued by the organization on the ownership, classification, retention, storage, handling and disposal of all records and information.
"
,"19143.06c1Organizational.9
Designated senior management within the organization reviews and approves the security categorizations and associated guidelines.
"
"ID.AM-6:  Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established","0104.02a1Organizational.12
User security roles and responsibilities are clearly defined and communicated.
"
,"0106.02a2Organizational.23
The pre-employment process is reviewed by recruitment to ensure security roles/responsibilities are specifically defined (in writing) and clearly communicated to job candidates.
"
,"0107.02d1Organizational.1
The organization has an information security workforce improvement program.
"
,"0108.02d1Organizational.23
The organization ensures plans for security testing, training, and monitoring activities are developed, implemented, maintained, and reviewed for consistency with the risk management strategy and response priorities.
"
,"0109.02d1Organizational.4
Management ensures users are (i) briefed on their security role(s)/responsibilities, conform with the terms and conditions of employment prior to obtaining access to the organization’s information systems; (ii) provided with guidelines regarding the security expectations of their roles; (iii) motivated to comply with security policies; and, (iv) continue to have the appropriate skills and qualifications for their role(s).
"
,"0110.02d2Organizational.1
An individual or dedicated team is assigned to manage the information security of the organization's users.
"
,"0111.02d2Organizational.2
Non-employees are provided the organization's data privacy and security policy requirements prior to accessing system resources and data.
"
,"0137.02a1Organizational.3
The organization formally addresses the purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance requirements for its human resources security protection program (e.g., through policy, standards, guidelines, and procedures).
"
,"0635.10k1Organizational.12
Managers responsible for application systems are also responsible for the strict control (security) of the project or support environment and ensure that all proposed system changes are reviewed to check that they do not compromise the security of either the system or the operating environment.
"
,"0636.10k2Organizational.1
The organization formally addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance for configuration management (e.g., through policies, standards, processes).
"
,"0637.10k2Organizational.2
The organization has developed, documented, and implemented a configuration management plan for the information system.
"
,"0640.10k2Organizational.1012
Where development is outsourced, change control procedures to address security are included in the contract(s) and specifically require the developer to track security flaws and flaw resolution within the system, component, or service and report findings to organization-defined personnel or roles.
"
,"0711.10m2Organizational.23
A technical vulnerability management program is in place to monitor, assess, rank, and remediate vulnerabilities identified in systems.
"
,"0835.09n1Organizational.1
Agreed services provided by a network service provider/manager are formally managed and monitored to ensure they are provided securely.
"
,"1153.01c3System.35
All file system access not explicitly required is disabled, and only authorized users are permitted access to only that which is expressly required for the performance of the users' job duties.
"
,"1154.01c3System.4
Contractors are provided with minimal system and physical access only after the organization assesses the contractor's ability to comply with its security requirements and the contractor agrees to comply.
"
,"1307.07c1Organizational.124
The organization defines rules to describe user responsibilities and acceptable behavior for information system usage, including at a minimum, rules for email, Internet, mobile devices, social media and facility usage.
"
,"1406.05k1Organizational.110
A standard agreement with third-parties is defined and includes the required security controls in accordance with the organization's security policies.
"
,"1407.05k2Organizational.1
The specific limitations of access, arrangements for compliance auditing, penalties, and the requirement for notification of third-party personnel transfers and terminations are identified in the agreement with the third-party.
"
,"1421.05j2Organizational.12
Access by customers to the organization's information is not provided until the appropriate controls have been implemented and, where feasible, a contract has been signed defining the terms and conditions for the connection or access and the working arrangement, including specific terms around asset protection, access control policy, arrangements for the resolution of inaccuracies, a description of each service provided, service levels, benefits to the customer, legal responsibilities of the organization and the customer, and any intellectual property rights.
"
,"1422.05j2Organizational.3
All security requirements resulting from work with external parties or internal controls are reflected by the agreement with the external party.
"
,"1429.05k1Organizational.34
The organization maintains written agreements (contracts) that include: (i) an acknowledgement that the third-party (e.g., a service provider) is responsible for the security of the data and requirements to address the associated information security risks; and, (ii) requirements to address the information security risks associated with information and communications technology services (e.g., cloud computing services) and product supply chain.
"
,"1430.05k1Organizational.56
The agreement ensures that there is no misunderstanding between the organization and the third-party and satisfies the organization as to the indemnity of the third-party.
"
,"1431.05k1Organizational.7
The organization establishes personnel security requirements, including security roles and responsibilities, for third-party providers that are coordinated and aligned with internal security roles and responsibilities.
"
,"1432.05k1Organizational.89
The organization ensures a screening process is carried out for contractors and third-party users, and, where contractors are provided through an organization, the contract with the organization clearly specifies (i) the organization's responsibilities for screening and the notification procedures they need to follow if screening has not been completed, or if the results give cause for doubt or concern; and, (ii) all responsibilities and notification procedures for screening.
"
,"1561.11d2Organizational.14
The organization has implemented an incident handling capability for security incidents that addresses: (i) policy (setting corporate direction) and procedures defining roles and responsibilities; (ii) incident handling procedures (business and technical); (iii) communication; (iv) reporting and retention; and, (v) references to a vulnerability management program.
"
,"1562.11d2Organizational.2
The organization coordinates incident handling activities with contingency planning activities.
"
,"1563.11d2Organizational.3
The organization incorporates lessons learned from ongoing incident handling activities and industry developments into incident response procedures, training and testing exercises, and implements the resulting changes accordingly.
"
,"1601.12c1Organizational.1238
The organization can recover and restore business operations and establish an availability of information in the time frame required by the business objectives and without a deterioration of the security measures.
"
,"1602.12c1Organizational.4567
The contingency program addresses required capacity, identifies critical missions and business functions, defines recovery objectives and priorities, and identifies roles and responsibilities.
"
,"1604.12c2Organizational.16789
Alternative storage and processing sites are identified (permanent and/or temporary) at a sufficient distance from the primary facility and configured with security measures equivalent to the primary site, and the necessary third-party service agreements have been established to allow for the resumption of information systems operations of critical business functions within the time period defined (e.g., priority of service provisions) based on a risk assessment, including Recovery Time Objectives (RTO), in accordance with the organization's availability requirements.
"
,"1607.12c2Organizational.4
Business continuity planning includes identification and agreement on all responsibilities, business continuity processes, and the acceptable loss of information and services.
"
,"1666.12d1Organizational.1235
The organization creates, at a minimum, one business continuity plan and ensures each plan: (i) has an owner; (ii) describes the approach for continuity, ensuring at a minimum the approach to maintain information or information asset availability and security; and, (iii) specifies the escalation plan and the conditions for its activation, as well as the individuals responsible for executing each component of the plan.
"
,"1668.12d1Organizational.67
Emergency procedures, manual ""fallback"" procedures, and resumption plans are the responsibility of the owner of the business resources or processes involved; and fallback arrangements for alternative technical services, such as information processing and communications facilities, are the responsibility of the service providers.
"
,"1672.12d2Organizational.3
The business continuity planning framework addresses the specific, minimal set of information security requirements as well as (i) temporary operational procedures to follow pending completion of recovery and restoration, and (ii) the responsibilities of the individuals, describing who is responsible for executing which component of the plan (alternatives are nominated as required).
"
ID.BE-1:  The organization’s role in the supply chain is identified and communicated,"1416.10l1Organizational.1
Where software development is outsourced, formal contracts are in place to address the ownership and security of the code and application.
"
ID.BE-2:  The organization’s place in critical infrastructure and its industry sector is identified and communicated,"0121.05a2Organizational.12
The organization's information protection and risk management programs, including the risk assessment process, are formally approved, and are reviewed for effectiveness and updated annually.
"
,"1635.12b1Organizational.2
Information security aspects of business continuity are: (i) based on identifying events (or sequence of events) that can cause interruptions to the organization's critical business processes (e.g., equipment failure, human errors, theft, fire, natural disasters acts of terrorism); (ii) followed by a risk assessment to determine the probability and impact of such interruptions, in terms of time, damage scale and recovery period; (iii) based on the results of the risk assessment, a business continuity strategy is developed to identify the overall approach to business continuity; and, (iv) once this strategy has been created, endorsement is provided by management, and a plan created and endorsed to implement this strategy.
"
,"1636.12b2Organizational.1
The organization identifies its critical business processes and integrates the information security management requirements of business continuity with other continuity requirements relating to such aspects as operations, staffing, materials, transport and facilities.
"
"ID.BE-3:  Priorities for organizational mission, objectives, and activities are established and communicated","0117.05a1Organizational.1
A senior-level information security official is appointed and is responsible for ensuring security processes are in place, communicated to all stakeholders, and consider and address organizational requirements.
"
,"0118.05a1Organizational.2
Senior management assigns an individual or group to ensure the effectiveness of the information protection program through program oversight; establish and communicate the organization's priorities for organizational mission, objectives, and activities; review and update of the organization's security plan; ensure compliance with the security plan by the workforce; and evaluate and accept security risks on behalf of the organization.
"
,"0121.05a2Organizational.12
The organization's information protection and risk management programs, including the risk assessment process, are formally approved, and are reviewed for effectiveness and updated annually.
"
,"0123.05a2Organizational.4
Security contacts are formally appointed in writing for each major organizational area or business unit.
"
,"0816.01w1System.1
The sensitivity of applications/systems is explicitly identified and documented by the application/system owner.
"
ID.BE-4:  Dependencies and critical functions for delivery of critical services are established,"1601.12c1Organizational.1238
The organization can recover and restore business operations and establish an availability of information in the time frame required by the business objectives and without a deterioration of the security measures.
"
,"1602.12c1Organizational.4567
The contingency program addresses required capacity, identifies critical missions and business functions, defines recovery objectives and priorities, and identifies roles and responsibilities.
"
,"1604.12c2Organizational.16789
Alternative storage and processing sites are identified (permanent and/or temporary) at a sufficient distance from the primary facility and configured with security measures equivalent to the primary site, and the necessary third-party service agreements have been established to allow for the resumption of information systems operations of critical business functions within the time period defined (e.g., priority of service provisions) based on a risk assessment, including Recovery Time Objectives (RTO), in accordance with the organization's availability requirements.
"
